id,product,slug,category,collection,variant,price,price_status,dimensions,specifications,image_paths,source_catalogue,source_page,source_region,verification_status,notes
arcus,ARCUS,arcus,sofas,Sofas,,64000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/arcus.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
vegas,VEGAS,vegas,sofas,Sofas,,92000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/vegas.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
lopez,LOPEZ,lopez,sofas,Sofas,,62000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/lopez.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
flame,FLAME,flame,sofas,Sofas,,82000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/flame.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
zurich,ZURICH,zurich,sofas,Sofas,,98000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/zurich.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
new-vogue,NEW VOGUE,new-vogue,sofas,Sofas,,58000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/new-vogue.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
chester,CHESTER,chester,sofas,Sofas,,65000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/chester.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
heritage,HERITAGE,heritage,sofas,Sofas,,65000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/heritage.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
imperial,IMPERIAL,imperial,sofas,Sofas,IMPERIAL,68000/-,VERIFIED,VERIFIED,NOT_PROVIDED,"/images/products/imperial-6-22.jpeg, /images/products/imperial.jpeg, /images/products/imperial-6-20.jpeg, /images/products/imperial-6-21.jpeg",ZEN SOFA SERIES,Various,Various,VERIFIED,
glamour,GLAMOUR,glamour,sofas,Sofas,,65000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/glamour.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
fortune,FORTUNE,fortune,sofas,Sofas,,56000/-,CONFLICT,VERIFIED,NOT_PROVIDED,/images/products/fortune.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
liberty,LIBERTY,liberty,sofas,Sofas,,98000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/liberty.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
mapple,MAPPLE,mapple,sofas,Sofas,MAPPLE,54565000/-,CONFLICT,VERIFIED,NOT_PROVIDED,"/images/products/mapple-8-31.jpeg, /images/products/mapple.jpeg",ZEN SOFA SERIES,Various,Various,VERIFIED,
tokyo,TOKYO,tokyo,sofas,Sofas,TOKYO,4541000/-,CONFLICT,VERIFIED,NOT_PROVIDED,"/images/products/tokyo-8-32.jpeg, /images/products/tokyo.jpeg",ZEN SOFA SERIES,Various,Various,VERIFIED,
zara,ZARA,zara,sofas,Sofas,,84000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/zara-sofa.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
